Property,Time,Value
LeftHandQ.x,7.23333400,-0.01151988
LeftHandQ.x,7.36666700,-0.01173575
LeftHandQ.x,7.58333300,-0.01103419
LeftHandQ.x,7.71666700,-0.01101356
LeftHandQ.x,7.95000000,-0.01064136
LeftHandQ.x,8.08333400,-0.01021747
LeftHandQ.x,8.25000000,-0.00968703
LeftHandQ.x,8.33333400,-0.00882547
LeftHandQ.y,0.00000000,0.07557358
LeftHandQ.y,0.40000000,0.07809790
LeftHandQ.y,0.73333330,0.08044695
LeftHandQ.y,1.10000000,0.07864413
LeftHandQ.y,1.33333300,0.07796552
LeftHandQ.y,1.65000000,0.07562640
LeftHandQ.y,1.88333300,0.07461630
LeftHandQ.y,2.13333300,0.07161541
LeftHandQ.y,2.41666700,0.07131775
LeftHandQ.y,2.71666700,0.07083380
LeftHandQ.y,2.96666700,0.07156222
LeftHandQ.y,3.21666700,0.07257931
LeftHandQ.y,3.45000000,0.07515351
LeftHandQ.y,3.80000000,0.07685172
LeftHandQ.y,4.03333400,0.07763927
LeftHandQ.y,4.35000000,0.07785258
LeftHandQ.y,4.55000000,0.07825430
LeftHandQ.y,4.78333400,0.07791312
LeftHandQ.y,5.05000000,0.07667670
LeftHandQ.y,5.25000000,0.07545915
LeftHandQ.y,5.41666700,0.07466139
LeftHandQ.y,5.73333400,0.07249463
LeftHandQ.y,6.01666700,0.07090728
LeftHandQ.y,6.25000000,0.07112712
LeftHandQ.y,6.48333400,0.07053557
LeftHandQ.y,6.68333400,0.07265797
LeftHandQ.y,6.90000100,0.07378954
LeftHandQ.y,7.13333400,0.07694347
LeftHandQ.y,7.35000000,0.07725635
LeftHandQ.y,7.58333300,0.07711014
LeftHandQ.y,7.91666700,0.07724959
LeftHandQ.y,8.21666700,0.07673419
LeftHandQ.y,8.33333400,0.07557381
LeftHandQ.z,0.00000000,0.75464460
LeftHandQ.z,8.33333400,0.75464460
LeftHandQ.w,0.00000000,-0.65170730
LeftHandQ.w,8.33333400,-0.65170730
RightHandT.x,0.00000000,0.22718260
RightHandT.x,0.81666670,0.22830660
RightHandT.x,1.63333300,0.23025140
RightHandT.x,2.46666700,0.23023210
RightHandT.x,3.28333400,0.22829680
RightHandT.x,4.11666700,0.22640920
RightHandT.x,4.93333300,0.22949970
RightHandT.x,5.75000000,0.23285540
RightHandT.x,6.58333300,0.23239340
RightHandT.x,7.40000100,0.22939080
RightHandT.x,8.23333400,0.22721970
RightHandT.x,8.33333400,0.22718250
RightHandT.y,0.00000000,-0.16146550
RightHandT.y,0.81666670,-0.15679580
RightHandT.y,1.63333300,-0.14878110
RightHandT.y,2.46666700,-0.14778450
RightHandT.y,3.28333400,-0.15565420
RightHandT.y,4.11666700,-0.16123070
RightHandT.y,4.93333300,-0.15469320
