Property,Time,Value
UpperChest Left-Right,0.06666667,0.02564472
UpperChest Left-Right,0.10000000,0.01502553
UpperChest Left-Right,0.13333330,-0.00110746
UpperChest Left-Right,0.15000000,-0.01059807
UpperChest Left-Right,0.16666670,-0.01943618
UpperChest Left-Right,0.18333330,-0.02691836
UpperChest Left-Right,0.20000000,-0.03033587
UpperChest Left-Right,0.21666670,-0.02536848
UpperChest Left-Right,0.25000000,-0.00477609
UpperChest Left-Right,0.26666670,0.00694876
UpperChest Left-Right,0.28333340,0.01699278
UpperChest Left-Right,0.30000000,0.02395150
UpperChest Left-Right,0.31666670,0.02526066
UpperChest Left-Right,0.33333330,0.02235797
UpperChest Left-Right,0.36666670,0.00566472
UpperChest Left-Right,0.38333340,-0.00446503
UpperChest Left-Right,0.40000000,-0.01417391
UpperChest Left-Right,0.43333340,-0.02748915
UpperChest Left-Right,0.48333330,-0.02490046
UpperChest Left-Right,0.50000000,-0.01877877
UpperChest Left-Right,0.51666670,-0.00995250
UpperChest Left-Right,0.53333340,-0.00000120
UpperChest Twist Left-Right,0.00000000,-0.00000009
UpperChest Twist Left-Right,0.01666667,0.00537597
UpperChest Twist Left-Right,0.05000000,0.01371020
UpperChest Twist Left-Right,0.06666667,0.01563388
UpperChest Twist Left-Right,0.08333334,0.01533006
UpperChest Twist Left-Right,0.10000000,0.01282612
UpperChest Twist Left-Right,0.11666670,0.00739387
UpperChest Twist Left-Right,0.13333330,0.00078010
UpperChest Twist Left-Right,0.15000000,-0.00576583
UpperChest Twist Left-Right,0.16666670,-0.01155927
UpperChest Twist Left-Right,0.20000000,-0.01772165
UpperChest Twist Left-Right,0.23333330,-0.02032663
UpperChest Twist Left-Right,0.26666670,-0.01662723
UpperChest Twist Left-Right,0.30000000,-0.00893229
UpperChest Twist Left-Right,0.31666670,-0.00542759
UpperChest Twist Left-Right,0.33333330,-0.00239340
UpperChest Twist Left-Right,0.35000000,-0.00008376
UpperChest Twist Left-Right,0.36666670,0.00158034
UpperChest Twist Left-Right,0.38333340,0.00271228
UpperChest Twist Left-Right,0.40000000,0.00296971
UpperChest Twist Left-Right,0.41666670,0.00187645
UpperChest Twist Left-Right,0.43333340,-0.00011603
UpperChest Twist Left-Right,0.45000000,-0.00313708
UpperChest Twist Left-Right,0.46666670,-0.00591034
UpperChest Twist Left-Right,0.48333330,-0.00726032
UpperChest Twist Left-Right,0.50000000,-0.00700799
UpperChest Twist Left-Right,0.51666670,-0.00401377
UpperChest Twist Left-Right,0.53333340,-0.00000009
Neck Nod Down-Up,0.00000000,-0.00000013
Neck Nod Down-Up,0.01666667,0.00469708
Neck Nod Down-Up,0.03333334,0.00930008
Neck Nod Down-Up,0.05000000,0.01427452
Neck Nod Down-Up,0.08333334,0.01861320
Neck Nod Down-Up,0.10000000,0.01568975
Neck Nod Down-Up,0.11666670,0.00625681
Neck Nod Down-Up,0.13333330,-0.00552585
Neck Nod Down-Up,0.15000000,-0.01715777
Neck Nod Down-Up,0.16666670,-0.02647578
Neck Nod Down-Up,0.18333330,-0.02955048
